settlement_id,date,amount,utr_reference,payer_account,fees_deducted,net_amount,description,currency
STL3021,2026-08-25,88500000,REF3021,Pioneer Auto,1770000,86730000,UPI/HDFC/Settlement for REF3021,INR
STL3022,2026-08-26,92000000,REF3022,Raga Exports,1840000,90160000,UPI/HDFC/Settlement for REF3022,INR
STL3023,2026-08-27,95500000,REF3023,Global Tech,1910000,93590000,UPI/HDFC/Settlement for REF3023,INR
STL3024,2026-08-28,99000000,REF3024,Delta Systems,1980000,97020000,UPI/HDFC/Settlement for REF3024,INR
STL3025,2026-08-04,102500000,REF3025,Omni Global,2050000,100450000,UPI/HDFC/Settlement for REF3025,INR
STL3026,2026-08-05,106000000,REF3026,Meridian Steel,2120000,103880000,UPI/HDFC/Settlement for REF3026,INR
STL3027,2026-08-06,109500000,REF3027,Everest Textiles,2190000,107310000,UPI/HDFC/Settlement for REF3027,INR
STL3028,2026-08-07,113000000,REF3028,Acme Corp,2260000,110740000,UPI/HDFC/Settlement for REF3028,INR
STL3029,2026-08-08,116500000,REF3029,Vortex Dynamics,2330000,114170000,UPI/HDFC/Settlement for REF3029,INR
STL3030,2026-08-09,120000000,REF3030,Pioneer Auto,2400000,117600000,UPI/HDFC/Settlement for REF3030,INR
STL3031,2026-08-10,123500000,REF3031,Raga Exports,2470000,121030000,UPI/HDFC/Settlement for REF3031,INR
STL3032,2026-08-11,127000000,REF3032,Global Tech,2540000,124460000,UPI/HDFC/Settlement for REF3032,INR
STL3033,2026-08-12,130500000,REF3033,Delta Systems,2610000,127890000,UPI/HDFC/Settlement for REF3033,INR
STL3034,2026-08-13,134000000,REF3034,Omni Global,2680000,131320000,UPI/HDFC/Settlement for REF3034,INR
STL3035,2026-08-14,137500000,REF3035,Meridian Steel,2750000,134750000,UPI/HDFC/Settlement for REF3035,INR
STL3036,2026-08-16,112000000,REF3036,Everest Textiles,2643200,109356800,CARD/MDR/Settlement for REF3036,INR
STL3037,2026-08-17,114000000,REF3037,Acme Corp,2690400,111309600,CARD/MDR/Settlement for REF3037,INR
STL3038,2026-08-18,116000000,REF3038,Vortex Dynamics,2737600,113262400,CARD/MDR/Settlement for REF3038,INR
STL3039,2026-08-19,118000000,REF3039,Pioneer Auto,2784800,115215200,CARD/MDR/Settlement for REF3039,INR
STL3040,2026-08-20,120000000,REF3040,Raga Exports,2832000,117168000,CARD/MDR/Settlement for REF3040,INR
STL3041,2026-08-21,122000000,REF3041,Global Tech,2879200,119120800,CARD/MDR/Settlement for REF3041,INR
STL3042,2026-08-22,124000000,REF3042,Delta Systems,2926400,121073600,CARD/MDR/Settlement for REF3042,INR
STL3043,2026-08-23,126000000,REF3043,Omni Global,2973600,123026400,CARD/MDR/Settlement for REF3043,INR
STL3044,2026-08-24,128000000,REF3044,Meridian Steel,3020800,124979200,CARD/MDR/Settlement for REF3044,INR
STL3045,2026-08-25,130000000,REF3045,Everest Textiles,3068000,126932000,CARD/MDR/Settlement for REF3045,INR
STL3046,2026-08-26,132000000,REF3046,Acme Corp,3115200,128884800,CARD/MDR/Settlement for REF3046,INR
STL3047,2026-08-27,134000000,REF3047,Vortex Dynamics,3162400,130837600,CARD/MDR/Settlement for REF3047,INR
STL3048,2026-08-10,60000000,REF3048,Pioneer Auto,1200000,58800000,PARTIAL/Installment 1 of REF3048,INR
STL3049,2026-08-10,60000000,REF3049,Raga Exports,1200000,58800000,PARTIAL/Installment 1 of REF3049,INR
STL3050,2026-08-10,60000000,REF3050,Global Tech,1200000,58800000,PARTIAL/Installment 1 of REF3050,INR
STL3051,2026-08-10,60000000,REF3051,Delta Systems,1200000,58800000,PARTIAL/Installment 1 of REF3051,INR
STL3052,2026-08-10,60000000,REF3052,Omni Global,1200000,58800000,PARTIAL/Installment 1 of REF3052,INR
STL3053,2026-08-10,60000000,REF3053,Meridian Steel,1200000,58800000,PARTIAL/Installment 1 of REF3053,INR
STL3054,2026-08-15,-35000000,CHG3054,Everest Textiles,0,-35000000,CHARGEBACK/Reversal debit for disputed txn,INR
STL3055,2026-08-15,-35000000,CHG3055,Acme Corp,0,-35000000,CHARGEBACK/Reversal debit for disputed txn,INR
STL3056,2026-08-15,-35000000,CHG3056,Vortex Dynamics,0,-35000000,CHARGEBACK/Reversal debit for disputed txn,INR
STL3057,2026-08-15,-35000000,CHG3057,Pioneer Auto,0,-35000000,CHARGEBACK/Reversal debit for disputed txn,INR
STL3058,2026-08-15,-35000000,CHG3058,Raga Exports,0,-35000000,CHARGEBACK/Reversal debit for disputed txn,INR
STL3059,2026-08-15,-35000000,CHG3059,Global Tech,0,-35000000,CHARGEBACK/Reversal debit for disputed txn,INR
STL3060,2026-08-18,55000000,UNK9960,Unknown Vendor Pvt Ltd,1100000,53900000,DIRECT_NEFT/Unmapped deposit,INR
STL3061,2026-08-18,55000000,UNK9961,Unknown Vendor Pvt Ltd,1100000,53900000,DIRECT_NEFT/Unmapped deposit,INR
STL3062,2026-08-18,55000000,UNK9962,Unknown Vendor Pvt Ltd,1100000,53900000,DIRECT_NEFT/Unmapped deposit,INR
STL3063,2026-08-18,55000000,UNK9963,Unknown Vendor Pvt Ltd,1100000,53900000,DIRECT_NEFT/Unmapped deposit,INR
STL3064,2026-08-18,55000000,UNK9964,Unknown Vendor Pvt Ltd,1100000,53900000,DIRECT_NEFT/Unmapped deposit,INR
STL3065,2026-08-18,55000000,UNK9965,Unknown Vendor Pvt Ltd,1100000,53900000,DIRECT_NEFT/Unmapped deposit,INR
