settlement_id,date,amount,utr_reference,payer_account,fees_deducted,net_amount,description,currency
STL4016,2026-08-19,4400000,UTR409916,Omni Global,88000,4312000,HDFC Bank Payout PAY4016 UTR:UTR409916,INR
STL4017,2026-08-20,4550000,UTR409917,Meridian Steel,91000,4459000,HDFC Bank Payout PAY4017 UTR:UTR409917,INR
STL4018,2026-08-21,4700000,UTR409918,Everest Textiles,94000,4606000,HDFC Bank Payout PAY4018 UTR:UTR409918,INR
STL4019,2026-08-22,4850000,UTR409919,Acme Corp,97000,4753000,HDFC Bank Payout PAY4019 UTR:UTR409919,INR
STL4020,2026-08-23,5000000,UTR409920,Vortex Dynamics,100000,4900000,HDFC Bank Payout PAY4020 UTR:UTR409920,INR
STL4021,2026-08-24,5150000,UTR409921,Pioneer Auto,103000,5047000,HDFC Bank Payout PAY4021 UTR:UTR409921,INR
STL4022,2026-08-25,5300000,UTR409922,Raga Exports,106000,5194000,HDFC Bank Payout PAY4022 UTR:UTR409922,INR
STL4023,2026-08-26,5450000,UTR409923,Global Tech,109000,5341000,HDFC Bank Payout PAY4023 UTR:UTR409923,INR
STL4024,2026-08-27,5600000,UTR409924,Delta Systems,112000,5488000,HDFC Bank Payout PAY4024 UTR:UTR409924,INR
STL4025,2026-08-03,5750000,UTR409925,Omni Global,115000,5635000,HDFC Bank Payout PAY4025 UTR:UTR409925,INR
STL4026,2026-08-04,5900000,UTR409926,Meridian Steel,118000,5782000,HDFC Bank Payout PAY4026 UTR:UTR409926,INR
STL4027,2026-08-05,6050000,UTR409927,Everest Textiles,121000,5929000,HDFC Bank Payout PAY4027 UTR:UTR409927,INR
STL4028,2026-08-06,6200000,UTR409928,Acme Corp,124000,6076000,HDFC Bank Payout PAY4028 UTR:UTR409928,INR
STL4029,2026-08-07,6350000,UTR409929,Vortex Dynamics,127000,6223000,HDFC Bank Payout PAY4029 UTR:UTR409929,INR
STL4030,2026-08-08,6500000,UTR409930,Pioneer Auto,130000,6370000,HDFC Bank Payout PAY4030 UTR:UTR409930,INR
STL4031,2026-08-09,9700000,UTR409931,Raga Exports,228920,9471080,Razorpay MDR Payout PAY4031 UTR:UTR409931,INR
STL4032,2026-08-10,9900000,UTR409932,Global Tech,233640,9666360,Razorpay MDR Payout PAY4032 UTR:UTR409932,INR
STL4033,2026-08-11,10100000,UTR409933,Delta Systems,238360,9861640,Razorpay MDR Payout PAY4033 UTR:UTR409933,INR
STL4034,2026-08-12,10300000,UTR409934,Omni Global,243080,10056920,Razorpay MDR Payout PAY4034 UTR:UTR409934,INR
STL4035,2026-08-13,10500000,UTR409935,Meridian Steel,247800,10252200,Razorpay MDR Payout PAY4035 UTR:UTR409935,INR
STL4036,2026-08-14,10700000,UTR409936,Everest Textiles,252520,10447480,Razorpay MDR Payout PAY4036 UTR:UTR409936,INR
STL4037,2026-08-15,10900000,UTR409937,Acme Corp,257240,10642760,Razorpay MDR Payout PAY4037 UTR:UTR409937,INR
STL4038,2026-08-16,11100000,UTR409938,Vortex Dynamics,261960,10838040,Razorpay MDR Payout PAY4038 UTR:UTR409938,INR
STL4039,2026-08-17,11300000,UTR409939,Pioneer Auto,266680,11033320,Razorpay MDR Payout PAY4039 UTR:UTR409939,INR
STL4040,2026-08-18,11500000,UTR409940,Raga Exports,271400,11228600,Razorpay MDR Payout PAY4040 UTR:UTR409940,INR
STL4041,2026-08-19,11700000,UTR409941,Global Tech,276120,11423880,Razorpay MDR Payout PAY4041 UTR:UTR409941,INR
STL4042,2026-08-20,11900000,UTR409942,Delta Systems,280840,11619160,Razorpay MDR Payout PAY4042 UTR:UTR409942,INR
STL4043,2026-08-21,12100000,UTR409943,Omni Global,285560,11814440,Razorpay MDR Payout PAY4043 UTR:UTR409943,INR
STL4044,2026-08-22,12300000,UTR409944,Meridian Steel,290280,12009720,Razorpay MDR Payout PAY4044 UTR:UTR409944,INR
STL4045,2026-08-23,12500000,UTR409945,Everest Textiles,295000,12205000,Razorpay MDR Payout PAY4045 UTR:UTR409945,INR
STL4046,2026-08-12,5000000,UTR409946,Acme Corp,105000,4895000,Gateway Overcharge Payout PAY4046,INR
STL4047,2026-08-12,5000000,UTR409947,Vortex Dynamics,105000,4895000,Gateway Overcharge Payout PAY4047,INR
STL4048,2026-08-12,5000000,UTR409948,Pioneer Auto,105000,4895000,Gateway Overcharge Payout PAY4048,INR
STL4049,2026-08-12,5000000,UTR409949,Raga Exports,105000,4895000,Gateway Overcharge Payout PAY4049,INR
STL4050,2026-08-12,5000000,UTR409950,Global Tech,105000,4895000,Gateway Overcharge Payout PAY4050,INR
STL4051,2026-08-20,7500000,UTR999951,Unknown Merchant Account,150000,7350000,Unmapped Direct Deposit,INR
STL4052,2026-08-20,7500000,UTR999952,Unknown Merchant Account,150000,7350000,Unmapped Direct Deposit,INR
STL4053,2026-08-20,7500000,UTR999953,Unknown Merchant Account,150000,7350000,Unmapped Direct Deposit,INR
STL4054,2026-08-20,7500000,UTR999954,Unknown Merchant Account,150000,7350000,Unmapped Direct Deposit,INR
STL4055,2026-08-20,7500000,UTR999955,Unknown Merchant Account,150000,7350000,Unmapped Direct Deposit,INR
