order_id,invoice_date,expected_amount,customer_name,customer_reference,expected_settlement_date,tax_amount,currency,status
ORD0063,2026-07-23,526974,"Dua, Saran and Goda",REF69453147,2026-07-25,80385,INR,settled
ORD0009,2026-07-21,3276067,Dewan-Koshy,REF39537672,2026-07-23,499739,INR,settled
ORD0085,2026-07-26,395427,"Dutt, Mukhopadhyay and Atwal",REF24771093,2026-07-27,60319,USD,settled
ORD0010,2026-07-08,1388687,Devi PLC,REF88496965,2026-07-10,211833,INR,settled
ORD0040,2026-07-21,1614689,"Murthy, Sarin and Vaidya",REF29401965,2026-07-22,246308,INR,settled
ORD0066,2026-07-03,4691923,"Swaminathan, Sem and Badal",REF31367837,2026-07-05,715717,INR,settled
ORD0013,2026-07-06,6416205,"Cherian, Misra and Tripathi",REF46270482,2026-07-08,978743,INR,settled
ORD0016,2026-07-19,3617281,"Sampath, Kakar and Zacharia",REF82278248,2026-07-21,551788,INR,settled
ORD0062,2026-07-04,690885,Issac-Borra,REF50671657,2026-07-05,105389,INR,settled
ORD0068,2026-07-18,212230,Dara Ltd,REF68557444,2026-07-20,32374,INR,settled
ORD0003,2026-07-01,3718136,Kale LLC,REF79402654,2026-07-02,567173,INR,settled
ORD0056,2026-07-20,1813591,Nayar-Ravel,REF20465375,2026-07-21,276649,INR,settled
ORD0050,2026-07-11,808535,Brahmbhatt-Mangal,REF74348734,2026-07-12,123335,INR,settled
ORD0005,2026-07-26,2728638,Boase Inc,REF16184959,2026-07-27,416232,INR,settled
ORD0070,2026-07-14,751771,"Walla, Date and Mahal",REF13435240,2026-07-16,114676,INR,settled
ORD0015,2026-07-26,6780428,Sunder Inc,REF15430391,2026-07-28,1034302,INR,settled
ORD0023,2026-07-14,7662220,Sunder-Srivastava,REF81080132,2026-07-15,1168813,INR,settled
ORD0082,2026-07-23,2185534,Rattan-Bansal,REF65512567,2026-07-25,333386,INR,settled
ORD0035,2026-07-26,3244548,Parmar and Sons,REF98262045,2026-07-28,494931,INR,settled
ORD0048,2026-07-22,4941467,Shetty Ltd,REF28708317,2026-07-25,753783,INR,settled
ORD0002,2026-07-05,1508591,Saini and Sons,REF01338908,2026-07-06,230124,INR,settled
ORD0031,2026-07-11,3910684,Lalla Inc,REF84980841,2026-07-12,596545,INR,settled
ORD0081,2026-07-20,2140865,Singhal LLC,REF78742967,2026-07-22,326572,INR,settled
ORD0033,2026-07-11,4043055,De-Lala,REF74016400,2026-07-12,616737,INR,settled
ORD0054,2026-07-06,1575430,Kala Inc,REF93734670,2026-07-08,240319,INR,settled
ORD0036,2026-07-14,7885373,Goel Group,REF31586923,2026-07-16,1202853,INR,settled
ORD0074,2026-07-13,7946868,"Sanghvi, Mody and Bhasin",REF99386774,2026-07-14,1212234,INR,settled
ORD0044,2026-07-02,5311415,Sathe-Kala,REF44369957,2026-07-03,810215,INR,settled
ORD0083,2026-07-18,5148175,Shere Group,REF71545168,2026-07-19,785314,INR,settled
ORD0059,2026-07-22,381628,"Zacharia, Ben and Palla",REF37452991,2026-07-23,58214,INR,settled
ORD0028,2026-07-05,2820370,Randhawa-Deep,REF99854353,2026-07-07,430225,INR,settled
ORD0042,2026-07-06,86161,Rege-Narain,REF61595148,2026-07-08,13143,INR,settled
ORD0049,2026-07-08,2428136,"Sehgal, Dutt and Soman",REF88957986,2026-07-10,370393,INR,settled
ORD0034,2026-07-07,7980103,"Dixit, Banik and Pingle",REF27868011,2026-07-08,1217303,INR,settled
ORD0007,2026-07-04,5820619,Shere Group,REF53419283,2026-07-06,887891,INR,settled
ORD0024,2026-07-21,3387174,Mangal-Sampath,REF36026064,2026-07-23,516687,INR,settled
ORD0060,2026-07-22,654625,"Zacharia, Ben and Palla",REF24190496,2026-07-23,99858,INR,settled
ORD0018,2026-07-24,6750828,Bhargava and Sons,REF50983930,2026-07-26,1029787,INR,settled
ORD0055,2026-07-20,1500610,Nayar-Ravel,REF69901627,2026-07-21,228906,INR,settled
ORD0011,2026-07-13,7656962,Rajan Group,REF71012269,2026-07-15,1168011,INR,settled
ORD0086,2026-07-03,402738,Manne-Upadhyay,REF86131712,2026-07-04,61434,USD,settled
ORD0073,2026-07-14,4213555,Saha PLC,REF90229413,2026-07-16,642745,INR,settled
ORD0076,2026-07-09,4732940,Mandal-Setty,REF06797403,2026-07-10,721973,INR,settled
ORD0051,2026-07-17,2424662,Rajagopal Ltd,REF34558122,2026-07-18,369863,INR,settled
ORD0004,2026-07-07,3748379,Sharaf PLC,REF11615594,2026-07-09,571786,INR,settled
ORD0069,2026-07-18,6244416,Vohra-Mandal,REF35182337,2026-07-19,952538,INR,settled
ORD0080,2026-07-26,6160622,"Luthra, Baria and Gill",REF94013990,2026-07-27,939755,INR,settled
