order_id,invoice_date,expected_amount,customer_name,customer_reference,expected_settlement_date,tax_amount,currency,status
ORD0022,2026-07-02,24200000,Global Tech,REF0022,2026-07-03,4356000,INR,settled
ORD0023,2026-07-10,56600000,Omni Global,REF0023,2026-07-19,10188000,INR,settled
ORD0024,2026-07-04,57600000,Acme Corp,REF0024,2026-07-05,10368000,INR,settled
ORD0025,2026-07-15,66900000,Beta LLC,REF0025,2026-07-20,12042000,INR,settled
ORD0026,2026-07-06,84700000,Omni Global,REF0026,2026-07-15,15246000,INR,settled
ORD0027,2026-07-07,82700000,Nexus Inc,REF0027,2026-07-09,14886000,INR,settled
ORD0028,2026-07-21,64600000,Omni Global,REF0028,2026-07-30,11628000,INR,settled
ORD0029,2026-07-21,134700000,Acme Corp,REF0029,2026-07-22,24246000,INR,settled
ORD0030,2026-07-08,50000,Global Tech,REF0030,2026-07-09,21474000,USD,settled
ORD0031,2026-07-13,104600000,Global Tech,REF0031,2026-07-14,18828000,INR,settled
ORD0032,2026-07-18,141000000,Nexus Inc,REF0032,2026-07-20,25380000,INR,settled
ORD0033,2026-07-02,76400000,Global Tech,REF0033,2026-07-03,13752000,INR,settled
ORD0034,2026-07-11,16500000,Global Tech,REF0034,2026-07-12,2970000,INR,settled
ORD0035,2026-07-03,64800000,Beta LLC,REF0035,2026-07-08,11664000,INR,settled
ORD0036,2026-07-11,126100000,Global Tech,REF0036,2026-07-12,22698000,INR,settled
ORD0037,2026-07-16,144200000,Global Tech,REF0037,2026-07-17,25956000,INR,settled
ORD0038,2026-07-15,141600000,Beta LLC,REF0038,2026-07-20,25488000,INR,settled
ORD0039,2026-07-05,64200000,Global Tech,REF0039,2026-07-06,11556000,INR,settled
ORD0040,2026-07-18,124900000,Global Tech,REF0040,2026-07-19,22482000,INR,settled
ORD0041,2026-07-14,129700000,Nexus Inc,REF0041,2026-07-16,23346000,INR,settled
ORD0042,2026-07-12,91700000,Delta Systems,REF0042,2026-07-18,16506000,INR,settled
ORD0043,2026-07-17,38300000,Global Tech,REF0043,2026-07-18,6894000,INR,settled
ORD0044,2026-07-02,28600000,Beta LLC,REF0044,2026-07-07,5148000,INR,settled
ORD0045,2026-07-05,50000,Vortex Dynamics,REF0045,2026-07-17,5832000,USD,settled
ORD0046,2026-07-14,42700000,Omni Global,REF0046,2026-07-23,7686000,INR,settled
ORD0047,2026-07-13,23000000,Delta Systems,REF0047,2026-07-19,4140000,INR,settled
ORD0048,2026-07-15,132000000,Beta LLC,REF0048,2026-07-20,23760000,INR,settled
ORD0049,2026-07-18,61400000,Delta Systems,REF0049,2026-07-24,11052000,INR,settled
ORD0050,2026-07-04,12300000,Vortex Dynamics,REF0050,2026-07-16,2214000,INR,settled
ORD0051,2026-07-09,119900000,Omni Global,REF0051,2026-07-18,21582000,INR,settled
ORD0052,2026-07-11,141200000,Vortex Dynamics,REF0052,2026-07-23,25416000,INR,settled
ORD0053,2026-07-14,70100000,Acme Corp,REF0053,2026-07-15,12618000,INR,settled
ORD0054,2026-07-01,102900000,Global Tech,REF0054,2026-07-02,18522000,INR,settled
ORD0055,2026-07-17,63900000,Omni Global,REF0055,2026-07-26,11502000,INR,settled
ORD0056,2026-07-26,123900000,Acme Corp,REF0056,2026-07-29,22302000,INR,unsettled
ORD0057,2026-07-26,81100000,Nexus Inc,REF0057,2026-08-10,14598000,INR,unsettled
ORD0058,2026-07-26,123900000,Nexus Inc,REF0058,2026-08-06,22302000,INR,unsettled
ORD0059,2026-07-26,51300000,Acme Corp,REF0059,2026-08-02,9234000,INR,unsettled
ORD0060,2026-07-26,130400000,Acme Corp,REF0060,2026-08-09,23472000,INR,unsettled
ORD0061,2026-07-26,20100000,Nexus Inc,REF0061,2026-08-06,3618000,INR,unsettled
ORD0062,2026-07-26,120000000,Global Tech,REF0062,2026-07-28,21600000,INR,unsettled
ORD0063,2026-07-26,94300000,Acme Corp,REF0063,2026-08-10,16974000,INR,unsettled
ORD0064,2026-06-10,128000000,Omni Global,REF0064,2026-06-15,23040000,INR,unsettled
ORD0065,2026-06-11,62200000,Delta Systems,REF0065,2026-06-16,11196000,INR,unsettled
ORD0066,2026-06-11,229000000,Vortex Dynamics,REF0066,2026-06-16,41220000,INR,unsettled
ORD0067,2026-06-12,81500000,Vortex Dynamics,REF0067,2026-06-17,14670000,INR,unsettled
ORD0068,2026-06-18,224600000,Vortex Dynamics,REF0068,2026-06-23,40428000,INR,unsettled
