settlement_id,date,amount,utr_reference,payer_account,fees_deducted,net_amount,description,currency
STL3036,2026-08-21,9400000,REF3036,Everest Textiles,221840,9178160,CARD/MDR/Settlement for REF3036,INR
STL3037,2026-08-22,9550000,REF3037,Acme Corp,225380,9324620,CARD/MDR/Settlement for REF3037,INR
STL3038,2026-08-23,9700000,REF3038,Vortex Dynamics,228920,9471080,CARD/MDR/Settlement for REF3038,INR
STL3039,2026-08-24,9850000,REF3039,Pioneer Auto,232460,9617540,CARD/MDR/Settlement for REF3039,INR
STL3040,2026-08-05,10000000,REF3040,Raga Exports,236000,9764000,CARD/MDR/Settlement for REF3040,INR
STL3041,2026-08-06,10150000,REF3041,Global Tech,239540,9910460,CARD/MDR/Settlement for REF3041,INR
STL3042,2026-08-07,10300000,REF3042,Delta Systems,243080,10056920,CARD/MDR/Settlement for REF3042,INR
STL3043,2026-08-08,10450000,REF3043,Omni Global,246620,10203380,CARD/MDR/Settlement for REF3043,INR
STL3044,2026-08-09,10600000,REF3044,Meridian Steel,250160,10349840,CARD/MDR/Settlement for REF3044,INR
STL3045,2026-08-10,10750000,REF3045,Everest Textiles,253700,10496300,CARD/MDR/Settlement for REF3045,INR
STL3046,2026-08-11,10900000,REF3046,Acme Corp,257240,10642760,CARD/MDR/Settlement for REF3046,INR
STL3047,2026-08-12,11050000,REF3047,Vortex Dynamics,260780,10789220,CARD/MDR/Settlement for REF3047,INR
STL3048,2026-08-10,6000000,REF3048,Pioneer Auto,120000,5880000,PARTIAL/Installment 1 of REF3048,INR
STL3049,2026-08-10,6000000,REF3049,Raga Exports,120000,5880000,PARTIAL/Installment 1 of REF3049,INR
STL3050,2026-08-10,6000000,REF3050,Global Tech,120000,5880000,PARTIAL/Installment 1 of REF3050,INR
STL3051,2026-08-10,6000000,REF3051,Delta Systems,120000,5880000,PARTIAL/Installment 1 of REF3051,INR
STL3052,2026-08-10,6000000,REF3052,Omni Global,120000,5880000,PARTIAL/Installment 1 of REF3052,INR
STL3053,2026-08-10,6000000,REF3053,Meridian Steel,120000,5880000,PARTIAL/Installment 1 of REF3053,INR
STL3054,2026-08-15,-3500000,CHG3054,Everest Textiles,0,-3500000,CHARGEBACK/Reversal debit for disputed txn,INR
STL3055,2026-08-15,-3500000,CHG3055,Acme Corp,0,-3500000,CHARGEBACK/Reversal debit for disputed txn,INR
STL3056,2026-08-15,-3500000,CHG3056,Vortex Dynamics,0,-3500000,CHARGEBACK/Reversal debit for disputed txn,INR
STL3057,2026-08-15,-3500000,CHG3057,Pioneer Auto,0,-3500000,CHARGEBACK/Reversal debit for disputed txn,INR
STL3058,2026-08-15,-3500000,CHG3058,Raga Exports,0,-3500000,CHARGEBACK/Reversal debit for disputed txn,INR
STL3059,2026-08-15,-3500000,CHG3059,Global Tech,0,-3500000,CHARGEBACK/Reversal debit for disputed txn,INR
STL3060,2026-08-18,5500000,UNK9960,Unknown Vendor Pvt Ltd,110000,5390000,DIRECT_NEFT/Unmapped deposit,INR
STL3061,2026-08-18,5500000,UNK9961,Unknown Vendor Pvt Ltd,110000,5390000,DIRECT_NEFT/Unmapped deposit,INR
STL3062,2026-08-18,5500000,UNK9962,Unknown Vendor Pvt Ltd,110000,5390000,DIRECT_NEFT/Unmapped deposit,INR
STL3063,2026-08-18,5500000,UNK9963,Unknown Vendor Pvt Ltd,110000,5390000,DIRECT_NEFT/Unmapped deposit,INR
STL3064,2026-08-18,5500000,UNK9964,Unknown Vendor Pvt Ltd,110000,5390000,DIRECT_NEFT/Unmapped deposit,INR
STL3065,2026-08-18,5500000,UNK9965,Unknown Vendor Pvt Ltd,110000,5390000,DIRECT_NEFT/Unmapped deposit,INR
